iter	Passed	Remaining
405	8650	12656
406	8675	12640
407	8696	12619
408	8721	12602
409	8745	12584
410	8766	12563
411	8788	12542
412	8807	12518
413	8825	12492
414	8845	12468
415	8865	12445
416	8886	12423
417	8905	12399
418	8923	12373
419	8944	12351
420	8961	12325
421	8978	12297
422	9004	12283
423	9023	12258
424	9044	12236
425	9062	12211
426	9082	12187
427	9101	12163
428	9125	12146
429	9290	12314
430	9341	12332
431	9391	12347
432	9448	12372
433	9504	12395
434	9551	12406
435	9583	12397
436	9606	12376
437	9626	12351
438	9673	12361
439	9703	12349
440	9725	12327
441	9751	12310
442	9773	12288
443	9814	12290
444	9846	12279
445	9866	12255
446	9891	12236
447	9915	12217
448	9935	12192
449	9953	12165
450	9973	12140
451	10001	12126
452	10020	12099
453	10043	12079
454	10069	12060
455	10087	12034
456	10107	12009
457	10124	11981
458	10142	11954
459	10159	11926
460	10176	11898
461	10194	11871
462	10212	11845
463	10230	11817
464	10247	11790
465	10267	11766
466	10290	11744
467	10312	11722
468	10336	11703
469	10359	11681
470	10380	11658
471	10399	11633
472	10419	11609
473	10440	11585
474	10463	11564
475	10483	11540
476	10512	11526
477	10544	11515
478	10595	11524
479	10641	11528
480	10678	11522
481	10725	11526
482	10759	11516
483	10792	11506
484	10845	11516
485	10880	11507
486	10904	11486
487	10937	11474
488	10966	11460
489	10995	11444
490	11016	11420
491	11037	11396
492	11057	11371
493	11077	11347
494	11097	11321
495	11117	11296
496	11137	11272
497	11159	11249
498	11181	11226
499	11201	11201
500	11221	11176
501	11242	11152
502	11266	11132
503	11285	11106
504	11303	11079
505	11321	11053
506	11341	11028
507	11359	11001
508	11376	10974
509	11393	10946
510	11411	10920
511	11428	10893
512	11446	10866
513	11466	10842
514	11484	10815
515	11502	10788
516	11521	10763
517	11538	10736
518	11562	10715
519	11589	10697
520	11611	10675
521	11630	10649
522	11648	10623
523	11666	10597
524	11682	10570
525	11755	10593
526	11780	10573
527	11799	10548
528	11818	10522
529	11835	10495
530	11853	10469
531	11873	10445
532	11891	10419
533	11909	10392
534	11929	10368
535	11947	10342
536	11970	10320
537	11987	10294
538	12005	10268
539	12022	10241
540	12040	10215
541	12058	10189
542	12075	10162
543	12092	10136
544	12108	10109
545	12125	10082
546	12142	10055
547	12161	10031
548	12177	10003
549	12194	9977
550	12210	9949
551	12228	9924
552	12245	9897
553	12261	9871
554	12277	9844
555	12293	9817
556	12310	9790
557	12326	9764
558	12343	9737
559	12359	9711
560	12375	9684
561	12392	9658
562	12409	9631
563	12425	9605
564	12441	9579
565	12457	9552
566	12473	9525
567	12497	9505
568	12526	9488
569	12542	9461
570	12559	9435
571	12575	9409
572	12593	9384
573	12630	9373
574	12656	9354
575	12677	9332
576	12699	9309
577	12716	9284
578	12734	9259
