iter	Logloss
234	0.5500856105
235	0.5499444904
236	0.5498895927
237	0.5498019154
238	0.5496874481
239	0.549547474
240	0.549389301
241	0.5492884365
242	0.5491785192
243	0.5490886119
244	0.5489603345
245	0.5488966894
246	0.5487703722
247	0.5486100137
248	0.5485195589
249	0.5484056306
250	0.5482712828
251	0.5481377801
252	0.5480311187
253	0.5479102068
254	0.547760765
255	0.5476199798
256	0.5475084676
257	0.5474221778
258	0.5473219644
259	0.5472425912
260	0.5470510325
261	0.5468626655
262	0.5467359384
263	0.5465975006
264	0.5465140588
265	0.5464050317
266	0.5462696865
267	0.5461407294
268	0.545991971
269	0.5458769221
270	0.5457662025
271	0.5456088886
272	0.5453860527
273	0.5452535917
274	0.5451305404
275	0.5450244295
276	0.5449374072
277	0.544801043
278	0.5446945875
279	0.5445860336
280	0.5444652357
281	0.5443244355
282	0.5442042423
283	0.5440142087
284	0.5439078749
285	0.5437679789
286	0.5436707952
287	0.5435737383
288	0.543393285
289	0.5432739171
290	0.5431366783
291	0.543037819
292	0.542923612
293	0.5428163892
294	0.5426781169
295	0.5425513434
296	0.5423888856
297	0.5422465197
298	0.5420564495
299	0.5419063424
300	0.5417398744
301	0.5415861113
302	0.5414242165
303	0.5413079194
304	0.5411478899
305	0.5409738103
306	0.5408447226
307	0.5406656965
308	0.5405684078
309	0.5404453733
310	0.5403255002
311	0.5401967311
312	0.5401029864
313	0.5400192371
314	0.5398897485
315	0.5397217662
316	0.5396208461
317	0.5394735577
318	0.5393704735
319	0.5392173647
320	0.5390667408
321	0.5389359457
322	0.5387955827
323	0.5386597345
324	0.5384753184
325	0.5383702499
326	0.5382499336
327	0.5381317168
328	0.5380174264
329	0.5379111091
330	0.537786404
331	0.5376470927
332	0.5375141311
333	0.5373603193
334	0.5372782243
335	0.537190237
336	0.5370232254
337	0.5368852389
338	0.5367664666
339	0.5366532137
340	0.5365168068
341	0.5364009502
342	0.5362341713
343	0.5360961805
344	0.535944347
345	0.5357935561
346	0.5356657236
347	0.5355500547
348	0.5354159397
349	0.535247001
350	0.5351455672
351	0.5350429371
352	0.5348823156
353	0.5347895723
354	0.5346813771
355	0.5345705527
356	0.5344417563
357	0.534302441
358	0.5341807131
359	0.5340598912
360	0.5339592899
361	0.5337969339
362	0.5336598833
363	0.5335628832
364	0.5334073418
365	0.5333051579
366	0.5332027911
367	0.5330339227
368	0.5329345375
369	0.5328514427
370	0.5326981364
371	0.5325551964
372	0.5324332353
373	0.532341585
374	0.5322329423
375	0.5321340008
376	0.5320459181
377	0.5319390894
378	0.5318154441
379	0.5316941115
380	0.5316063959
381	0.5314602833
382	0.5313123175
383	0.5311891614
384	0.5310685857
385	0.5309629887
386	0.5308328516
387	0.5307385171
388	0.5305757974
389	0.5304670926
390	0.5303859708
391	0.5302436705
392	0.5301417077
393	0.53003049
394	0.5299459416
395	0.5298443204
396	0.5297224036
397	0.5296045796
398	0.5295006385
399	0.5293829101
400	0.5292511777
401	0.5291611491
402	0.5291032326
403	0.5289688012
404	0.5288141274
405	0.5286992227
406	0.52855657
407	0.5284450122
408	0.5283507195
409	0.5282631157
410	0.5281391617
411	0.528022202
412	0.5278946342
413	0.5277595715
414	0.5276470493
415	0.527518157
416	0.5274151108
417	0.5273152915
418	0.5271778548
419	0.5270388889
420	0.5269220777
421	0.5268611573
422	0.5266803129
423	0.5265516467
424	0.5264339193
425	0.5263469194
426	0.5262441683
427	0.5261307256
428	0.5260279646
429	0.5259435447
430	0.5258141802
431	0.5257345376
432	0.5255995296
433	0.5255505495
434	0.5254301154
435	0.525302658
436	0.5252001783
437	0.5251153057
438	0.5249591314
439	0.5248335868
440	0.5247554326
441	0.5246618633
442	0.524561065
443	0.5244542578
444	0.5242991165
445	0.5242050269
446	0.5241175336
447	0.5240143484
448	0.5239313163
449	0.5238523502
450	0.5237589173
451	0.5236666531
452	0.5235406838
453	0.523417309
454	0.5232771979
455	0.5231644802
456	0.5231011029
457	0.5229884411
458	0.5228562892
459	0.5227526468
460	0.5226278193
461	0.522474006
462	0.5224076506
463	0.5223007089
464	0.5221837878
465	0.5220487683
466	0.5219202033
467	0.5217780571
468	0.5216630163
469	0.5215784771
470	0.5214251073
471	0.5213275368
472	0.5212377079
473	0.5211395611
474	0.5210104434
475	0.520897725
476	0.5208249344
477	0.5207824509
478	0.5206838398
479	0.5205734226
480	0.5204714717
481	0.5203311495
482	0.5202330205
483	0.5201544733
484	0.5200522929
485	0.519954687
486	0.5198436491
487	0.5197227711
488	0.5196247461
489	0.5195290138
490	0.5194437642
491	0.5193431771
492	0.5191729855
493	0.5190844019
494	0.5190083823
495	0.5189359352
496	0.5188467614
497	0.5187574585
498	0.5186462138
499	0.5185840304
500	0.518463322
501	0.5183724757
502	0.5182644403
503	0.5181866685
504	0.5180410932
505	0.5179224046
506	0.517820665
507	0.5177509437
508	0.5176493923
509	0.5175435443
510	0.5173969872
511	0.5172871479
512	0.5172071518
513	0.5170933078
514	0.5170257114
515	0.5169325781
516	0.5168336463
517	0.5167122189
518	0.5166234871
519	0.5165331965
520	0.5164704723
521	0.5163749117
522	0.5162884185
523	0.5161997722
524	0.5161849349
525	0.5160192998
526	0.5159606516
527	0.5158990734
528	0.5158084409
529	0.5157164918
530	0.5156006281
531	0.5154614316
532	0.5153741387
533	0.515263964
534	0.5151321445
535	0.5150206505
536	0.5149051267
537	0.5147877094
538	0.514672166
539	0.5145681625
540	0.5144668835
541	0.5143917403
542	0.5142934162
543	0.5141947576
544	0.5140684968
545	0.5139615917
546	0.513820403
547	0.5137042009
548	0.5136220905
549	0.5135515082
550	0.5134840914
551	0.5133643084
552	0.5132751951
553	0.5131815451
554	0.5131064403
555	0.5130413785
556	0.5129431241
557	0.5128133407
558	0.5127273149
559	0.5126287069
560	0.512509102
561	0.5124306415
562	0.5123562564
563	0.5122611778
564	0.5121658145
565	0.5121108926
566	0.5120171984
567	0.5118847403
568	0.511794763
569	0.5116902242
570	0.5115845751
571	0.511517904
572	0.5114269712
573	0.5114163546
574	0.511307615
575	0.5111770173
576	0.511109591
577	0.5109552107
578	0.5108232491
